x	y	xmin	xmax	ymin	ymax	group
0	99	-0.5	0.5	98.5	99.5	1
1	99	0.5	1.5	98.5	99.5	2
2	99	1.5	2.5	98.5	99.5	3
3	99	2.5	3.5	98.5	99.5	4
4	99	3.5	4.5	98.5	99.5	5
5	99	4.5	5.5	98.5	99.5	6
6	99	5.5	6.5	98.5	99.5	7
7	99	6.5	7.5	98.5	99.5	8
8	99	7.5	8.5	98.5	99.5	9
9	99	8.5	9.5	98.5	99.5	10
10	99	9.5	10.5	98.5	99.5	11
11	99	10.5	11.5	98.5	99.5	12
12	99	11.5	12.5	98.5	99.5	13
13	99	12.5	13.5	98.5	99.5	14
14	99	13.5	14.5	98.5	99.5	15
15	99	14.5	15.5	98.5	99.5	16
16	99	15.5	16.5	98.5	99.5	17
17	99	16.5	17.5	98.5	99.5	18
18	99	17.5	18.5	98.5	99.5	19
19	99	18.5	19.5	98.5	99.5	20
20	99	19.5	20.5	98.5	99.5	21
21	99	20.5	21.5	98.5	99.5	22
22	99	21.5	22.5	98.5	99.5	23
23	99	22.5	23.5	98.5	99.5	24
24	99	23.5	24.5	98.5	99.5	25
25	99	24.5	25.5	98.5	99.5	26
26	99	25.5	26.5	98.5	99.5	27
27	99	26.5	27.5	98.5	99.5	28
28	99	27.5	28.5	98.5	99.5	29
29	99	28.5	29.5	98.5	99.5	30
30	99	29.5	30.5	98.5	99.5	31
31	99	30.5	31.5	98.5	99.5	32
32	99	31.5	32.5	98.5	99.5	33
33	99	32.5	33.5	98.5	99.5	34
34	99	33.5	34.5	98.5	99.5	35
35	99	34.5	35.5	98.5	99.5	36
36	99	35.5	36.5	98.5	99.5	37
37	99	36.5	37.5	98.5	99.5	38
38	99	37.5	38.5	98.5	99.5	39
39	99	38.5	39.5	98.5	99.5	40
40	99	39.5	40.5	98.5	99.5	41
41	99	40.5	41.5	98.5	99.5	42
42	99	41.5	42.5	98.5	99.5	43
43	99	42.5	43.5	98.5	99.5	44
44	99	43.5	44.5	98.5	99.5	45
45	99	44.5	45.5	98.5	99.5	46
46	99	45.5	46.5	98.5	99.5	47
47	99	46.5	47.5	98.5	99.5	48
48	99	47.5	48.5	98.5	99.5	49
49	99	48.5	49.5	98.5	99.5	50
50	99	49.5	50.5	98.5	99.5	51
51	99	50.5	51.5	98.5	99.5	52
52	99	51.5	52.5	98.5	99.5	53
53	99	52.5	53.5	98.5	99.5	54
54	99	53.5	54.5	98.5	99.5	55
55	99	54.5	55.5	98.5	99.5	56
56	99	55.5	56.5	98.5	99.5	57
57	99	56.5	57.5	98.5	99.5	58
58	99	57.5	58.5	98.5	99.5	59
59	99	58.5	59.5	98.5	99.5	60
60	99	59.5	60.5	98.5	99.5	61
61	99	60.5	61.5	98.5	99.5	62
62	99	61.5	62.5	98.5	99.5	63
63	99	62.5	63.5	98.5	99.5	64
64	99	63.5	64.5	98.5	99.5	65
65	99	64.5	65.5	98.5	99.5	66
66	99	65.5	66.5	98.5	99.5	67
67	99	66.5	67.5	98.5	99.5	68
68	99	67.5	68.5	98.5	99.5	69
69	99	68.5	69.5	98.5	99.5	70
70	99	69.5	70.5	98.5	99.5	71
71	99	70.5	71.5	98.5	99.5	72
72	99	71.5	72.5	98.5	99.5	73
73	99	72.5	73.5	98.5	99.5	74
74	99	73.5	74.5	98.5	99.5	75
75	99	74.5	75.5	98.5	99.5	76
76	99	75.5	76.5	98.5	99.5	77
77	99	76.5	77.5	98.5	99.5	78
78	99	77.5	78.5	98.5	99.5	79
79	99	78.5	79.5	98.5	99.5	80
80	99	79.5	80.5	98.5	99.5	81
81	99	80.5	81.5	98.5	99.5	82
82	99	81.5	82.5	98.5	99.5	83
83	99	82.5	83.5	98.5	99.5	84
84	99	83.5	84.5	98.5	99.5	85
85	99	84.5	85.5	98.5	99.5	86
86	99	85.5	86.5	98.5	99.5	87
87	99	86.5	87.5	98.5	99.5	88
88	99	87.5	88.5	98.5	99.5	89
89	99	88.5	89.5	98.5	99.5	90
90	99	89.5	90.5	98.5	99.5	91
91	99	90.5	91.5	98.5	99.5	92
92	99	91.5	92.5	98.5	99.5	93
93	99	92.5	93.5	98.5	99.5	94
94	99	93.5	94.5	98.5	99.5	95
95	99	94.5	95.5	98.5	99.5	96
96	99	95.5	96.5	98.5	99.5	97
97	99	96.5	97.5	98.5	99.5	98
98	99	97.5	98.5	98.5	99.5	99
99	99	98.5	99.5	98.5	99.5	100
0	98	-0.5	0.5	97.5	98.5	101
1	98	0.5	1.5	97.5	98.5	102
2	98	1.5	2.5	97.5	98.5	103
3	98	2.5	3.5	97.5	98.5	104
4	98	3.5	4.5	97.5	98.5	105
5	98	4.5	5.5	97.5	98.5	106
6	98	5.5	6.5	97.5	98.5	107
7	98	6.5	7.5	97.5	98.5	108
8	98	7.5	8.5	97.5	98.5	109
9	98	8.5	9.5	97.5	98.5	110
10	98	9.5	10.5	97.5	98.5	111
11	98	10.5	11.5	97.5	98.5	112
12	98	11.5	12.5	97.5	98.5	113
13	98	12.5	13.5	97.5	98.5	114
14	98	13.5	14.5	97.5	98.5	115
15	98	14.5	15.5	97.5	98.5	116
16	98	15.5	16.5	97.5	98.5	117
17	98	16.5	17.5	97.5	98.5	118
18	98	17.5	18.5	97.5	98.5	119
19	98	18.5	19.5	97.5	98.5	120
20	98	19.5	20.5	97.5	98.5	121
21	98	20.5	21.5	97.5	98.5	122
22	98	21.5	22.5	97.5	98.5	123
23	98	22.5	23.5	97.5	98.5	124
24	98	23.5	24.5	97.5	98.5	125
25	98	24.5	25.5	97.5	98.5	126
26	98	25.5	26.5	97.5	98.5	127
27	98	26.5	27.5	97.5	98.5	128
